 Celcius a Farenheit

  0°C  ----> 32.00°F 
125°C  ----> 257.00°F 
126°C  ----> 258.80°F 
127°C  ----> 260.60°F 
128°C  ----> 262.40°F 
129°C  ----> 264.20°F 
130°C  ----> 266.00°F 
131°C  ----> 267.80°F 
132°C  ----> 269.60°F 
133°C  ----> 271.40°F 
134°C  ----> 273.20°F 
135°C  ----> 275.00°F 
136°C  ----> 276.80°F 
137°C  ----> 278.60°F 
138°C  ----> 280.40°F 
139°C  ----> 282.20°F 
140°C  ----> 284.00°F 
141°C  ----> 285.80°F 
142°C  ----> 287.60°F 
143°C  ----> 289.40°F 
144°C  ----> 291.20°F 
145°C  ----> 293.00°F 
146°C  ----> 294.80°F 
147°C  ----> 296.60°F 
148°C  ----> 298.40°F 
149°C  ----> 300.20°F 
150°C  ----> 302.00°F 
151°C  ----> 303.80°F 
152°C  ----> 305.60°F 
153°C  ----> 307.40°F 
154°C  ----> 309.20°F 
155°C  ----> 311.00°F 
156°C  ----> 312.80°F 
157°C  ----> 314.60°F 
158°C  ----> 316.40°F 
159°C  ----> 318.20°F 
160°C  ----> 320.00°F 
161°C  ----> 321.80°F 
162°C  ----> 323.60°F 
163°C  ----> 325.40°F 
164°C  ----> 327.20°F 
165°C  ----> 329.00°F 
166°C  ----> 330.80°F 
167°C  ----> 332.60°F 
168°C  ----> 334.40°F 
169°C  ----> 336.20°F 
170°C  ----> 338.00°F 
171°C  ----> 339.80°F 
172°C  ----> 341.60°F 
173°C  ----> 343.40°F 
174°C  ----> 345.20°F 
175°C  ----> 347.00°F 
176°C  ----> 348.80°F 
177°C  ----> 350.60°F 
178°C  ----> 352.40°F 
179°C  ----> 354.20°F 
180°C  ----> 356.00°F 
181°C  ----> 357.80°F 
182°C  ----> 359.60°F 
183°C  ----> 361.40°F 
184°C  ----> 363.20°F 
185°C  ----> 365.00°F 
186°C  ----> 366.80°F 
187°C  ----> 368.60°F 
188°C  ----> 370.40°F 
189°C  ----> 372.20°F 
190°C  ----> 374.00°F 
191°C  ----> 375.80°F 
192°C  ----> 377.60°F 
193°C  ----> 379.40°F 
194°C  ----> 381.20°F 
195°C  ----> 383.00°F 
196°C  ----> 384.80°F 
197°C  ----> 386.60°F 
198°C  ----> 388.40°F 
199°C  ----> 390.20°F 
200°C  ----> 392.00°F 
201°C  ----> 393.80°F 
202°C  ----> 395.60°F 
203°C  ----> 397.40°F 
204°C  ----> 399.20°F 
205°C  ----> 401.00°F 
206°C  ----> 402.80°F 
207°C  ----> 404.60°F 
208°C  ----> 406.40°F 
209°C  ----> 408.20°F 
210°C  ----> 410.00°F 
211°C  ----> 411.80°F 
212°C  ----> 413.60°F 
213°C  ----> 415.40°F 
214°C  ----> 417.20°F 
215°C  ----> 419.00°F 
216°C  ----> 420.80°F 
217°C  ----> 422.60°F 
218°C  ----> 424.40°F 
219°C  ----> 426.20°F 
220°C  ----> 428.00°F 
221°C  ----> 429.80°F 
222°C  ----> 431.60°F 
223°C  ----> 433.40°F 
224°C  ----> 435.20°F 
225°C  ----> 437.00°F 
226°C  ----> 438.80°F 
227°C  ----> 440.60°F 
228°C  ----> 442.40°F 
229°C  ----> 444.20°F 
230°C  ----> 446.00°F 
231°C  ----> 447.80°F 
232°C  ----> 449.60°F 
233°C  ----> 451.40°F 
234°C  ----> 453.20°F 
235°C  ----> 455.00°F 
236°C  ----> 456.80°F 
237°C  ----> 458.60°F 
238°C  ----> 460.40°F 
239°C  ----> 462.20°F 
240°C  ----> 464.00°F 
241°C  ----> 465.80°F 
242°C  ----> 467.60°F 
243°C  ----> 469.40°F 
244°C  ----> 471.20°F 
245°C  ----> 473.00°F 
246°C  ----> 474.80°F 
247°C  ----> 476.60°F 
248°C  ----> 478.40°F 
249°C  ----> 480.20°F 
250°C  ----> 482.00°F 
251°C  ----> 483.80°F 
252°C  ----> 485.60°F 
253°C  ----> 487.40°F 
254°C  ----> 489.20°F 
255°C  ----> 491.00°F 
256°C  ----> 492.80°F 
257°C  ----> 494.60°F 
258°C  ----> 496.40°F 
259°C  ----> 498.20°F 
260°C  ----> 500.00°F 
261°C  ----> 501.80°F 
262°C  ----> 503.60°F 
263°C  ----> 505.40°F 
264°C  ----> 507.20°F 
265°C  ----> 509.00°F 
266°C  ----> 510.80°F 
267°C  ----> 512.60°F 
268°C  ----> 514.40°F 
269°C  ----> 516.20°F 
270°C  ----> 518.00°F 
271°C  ----> 519.80°F 
272°C  ----> 521.60°F 
273°C  ----> 523.40°F 
274°C  ----> 525.20°F 
275°C  ----> 527.00°F 
276°C  ----> 528.80°F 
277°C  ----> 530.60°F 
278°C  ----> 532.40°F 
279°C  ----> 534.20°F 
280°C  ----> 536.00°F 
281°C  ----> 537.80°F 
282°C  ----> 539.60°F 
283°C  ----> 541.40°F 
284°C  ----> 543.20°F 
285°C  ----> 545.00°F 
286°C  ----> 546.80°F 
287°C  ----> 548.60°F 
288°C  ----> 550.40°F 
289°C  ----> 552.20°F 
290°C  ----> 554.00°F 
291°C  ----> 555.80°F 
292°C  ----> 557.60°F 
293°C  ----> 559.40°F 
294°C  ----> 561.20°F 
295°C  ----> 563.00°F 
296°C  ----> 564.80°F 
297°C  ----> 566.60°F 
298°C  ----> 568.40°F 
299°C  ----> 570.20°F 
300°C  ----> 572.00°F 
